experiment,infra,drivers,window_s,avg_eps,p50_lat,p95_lat,p99_lat,max_surge,cost_hr,recovery_s
local_sub5s,local,500,2,60.7,3047.0,4328.0,4761.0,19,0.0,
local_1k,local,1000,2,105.0,2767.0,3813.0,4323.0,42,0.0,
local_5k,local,5000,5,464.2,5991.0,6675.0,6828.0,72,0.0,
ec2_5k,ec2,5000,5,470.1,5847.0,6147.0,7091.0,78,0.2,
ec2_50k,ec2,50000,10,1836.8,20630.0,33374.0,33891.0,39,0.2,
emr_50k,emr,50000,10,2045.7,75238.0,132500.0,137526.0,47,1.25,
fault_local,local,1000,5,102.6,2654.0,4312.0,5991.0,47,0.0,
fault_ec2,ec2,5000,5,462.3,5696.0,6125.0,6458.0,74,0.2,
